"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000087047.9",114.234942109018,2.12611258532754,0.602796569301789,3.52708142946166,0.000420167520585695,0.0604924902478399,NA,NA
"ENSMUSG00000059447.14",22353.9196016455,1.287921793353,0.365269655311864,3.52594795276216,0.00042196988837639,0.0604924902478399,"Hadhb","231086"
"ENSMUSG00000113361.2",136.931999529617,-2.41741592993156,0.685832876418242,-3.52478863736673,0.000423820809487246,0.0604924902478399,NA,NA
"ENSMUSG00000038370.7",196.936826759112,-1.72729618969206,0.490315723633064,-3.52282438934124,0.000426974171148539,0.0604924902478399,"Pcp4l1","66425"
"ENSMUSG00000097908.8",550.448745637652,-1.82996542276428,0.520588310219277,-3.51518731181935,0.000439443918619883,0.0613553101239671,"4933404O12Rik","66752"
"ENSMUSG00000070366.6",36.3075809127204,2.79838494430583,0.796144381945966,3.51492142350601,0.00043988412193585,0.0613553101239671,"Plpp4","381925"
"ENSMUSG00000046733.8",773.34645015693,-1.56943972366135,0.451511823155263,-3.47596595077791,0.000509016907227306,0.0704518554749302,"Gprc5a","232431"
"ENSMUSG00000083282.4",165.719276735952,1.73907420446864,0.500649828621097,3.47363387551423,0.000513461142268376,0.070524475823167,"Ctsf","56464"
"ENSMUSG00000087431.2",21.6791746972755,-4.15200660376438,1.20280229629372,-3.45194436073015,0.000556562481333468,0.0758653691411598,NA,NA
"ENSMUSG00000026621.14",467.564460142455,2.80763468331685,0.814000241026549,3.44918163632986,0.000562288338066103,0.0760695794497999,"Mtarc1","66112"
"ENSMUSG00000079484.13",122.098332839685,1.7727356213773,0.515295002500592,3.44023445361332,0.000581210467647744,0.0780426861521332,"Phyhd1","227696"
"ENSMUSG00000114945.2",86.2935943299156,2.00816011385137,0.585479838384437,3.4299389700466,0.000603717022081948,0.0804642990986703,NA,NA
"ENSMUSG00000074578.15",2380.7806356428,1.31498033955967,0.38412006462468,3.42335759222713,0.000618526512357481,0.081831967182707,"Zfas1","68949"
"ENSMUSG00000022226.7",345.284906271428,-2.00478956402111,0.590341426373453,-3.39598319626118,0.00068382557547259,0.0898107560545862,"Mcpt2","17225"
"ENSMUSG00000116383.2",194.643265639974,-3.19410647526989,0.94550161098495,-3.37821367849655,0.000729583651104954,0.094469368506654,NA,NA
"ENSMUSG00000026418.17",159.414208625736,-1.65519720525834,0.489973934486931,-3.37813317965895,0.000729797266849603,0.094469368506654,"Tnni1","21952"
